user_id,subscription_date,recipe_section_pageviews,food_section_pageviews,fashion_section_pageviews,beauty_section_pageviews,news_section_pageviews,Last sub date,date diff,per day visits-recipe,per day visit-food,per day visit- fashion,per day visit-beauty,per day visit- news,List,Recipe,Other
41,7/21/2010,1,0,2,0,1,9/29/2020,3723,0.000268601,0,0.000537201,0,0.000268601,,1,0
139,9/13/2016,1,0,2,0,0,9/29/2020,1477,0.000677048,0,0.001354096,0,0,,1,0
607,10/18/2013,1,0,1,0,2,9/29/2020,2538,0.000394011,0,0.000394011,0,0.000788022,,1,0
686,7/1/2010,0,3,4,2,3,9/29/2020,3743,0,0.000801496,0.001068662,0.000534331,0.000801496,3,,0
974,5/16/2014,5,0,1,0,0,9/29/2020,2328,0.002147766,0,0.000429553,0,0,,4,0
1373,7/1/2010,1,0,0,0,5,9/29/2020,3743,0.000267165,0,0,0,0.001335827,1,,0
1412,1/23/2013,3,4,1,0,9,9/29/2020,2806,0.001069138,0.001425517,0.000356379,0,0.003207413,2,3,2
1425,7/1/2010,0,1,2,0,0,9/29/2020,3743,0,0.000267165,0.000534331,0,0,1,,0
1560,7/1/2010,2,35,5,0,10,9/29/2020,3743,0.000534331,0.009350788,0.001335827,0,0.002671654,4,2,31
1687,7/1/2010,1,0,0,0,3,9/29/2020,3743,0.000267165,0,0,0,0.000801496,,1,0
1784,2/9/2012,1,0,0,0,0,9/29/2020,3155,0.000316957,0,0,0,0,,1,0
1835,7/1/2010,2,0,6,10,1,9/29/2020,3743,0.000534331,0,0.001602992,0.002671654,0.000267165,,2,0
1905,2/2/2017,1,3,2,0,1,9/29/2020,1335,0.000749064,0.002247191,0.001498127,0,0.000749064,3,1,0
1961,7/1/2010,7,5,3,2,2,9/29/2020,3743,0.001870158,0.001335827,0.000801496,0.000534331,0.000534331,4,7,1
2023,5/21/2012,1,1,0,0,0,9/29/2020,3053,0.000327547,0.000327547,0,0,0,1,1,0
2182,7/1/2010,2,3,6,0,3,9/29/2020,3743,0.000534331,0.000801496,0.001602992,0,0.000801496,3,2,0
2260,8/30/2010,2,3,0,0,8,9/29/2020,3683,0.000543036,0.000814553,0,0,0.002172142,3,2,0
3088,4/9/2013,0,2,1,0,2,9/29/2020,2730,0,0.000732601,0.0003663,0,0.000732601,2,,0
